 x     y
-1.2 17.804
-1.186 18.684
-1.179 18.002
-1.137 18.914
-1.081 19.456
-1.074 21.391
-1.067 21.292
-1.039 20.63
-1.018 19.1
-1.011 21.374
-0.983 22.577
-0.976 22.602
-0.941 20.868
-0.913 24.379
-0.878 21.94
-0.857 23.693
-0.822 22.682
-0.759 23.834
-0.745 24.99
-0.696 22.865
-0.689 23.124
-0.675 25.235
-0.64 25.238
-0.591 24.642
-0.528 24.802
-0.465 25.014
-0.458 24.281
-0.43 26.282
-0.423 24.212
-0.409 25.131
-0.388 24.104
-0.29 25.474
-0.276 25.357
-0.262 25.508
-0.22 25.748
-0.192 23.302
-0.185 23.136
-0.178 25.58
-0.164 27.263
-0.129 25.846
-0.045 25.583
-0.038 23.568
-0.031 26.434
0.102 25.614
0.123 23.916
0.137 23.542
0.179 25.078
0.193 24.619
0.207 24.484
0.242 24.959
0.249 23.655
0.263 23.792
0.277 22.544
0.319 24.458
0.354 23.162
0.396 22.447
0.403 21.486
0.452 20.847
0.473 22.317
0.585 22.366
0.599 20.086
0.613 21.113
0.627 20.021
0.697 22.875
0.725 22.115
0.739 19.92
0.746 20.739
0.753 21.666
0.76 21.57
0.795 21.124
0.844 20.795
0.851 20.5
0.886 19.15
0.893 21.585
0.921 19.88
0.935 19.499
0.949 19.431
0.956 18.044
0.984 20.777
0.991 18.262
1.012 18.456
1.019 19.086
1.082 17.405
1.124 18.47
1.131 19.472
1.152 16.808
